sedol,citicode,full_description,ismininv_monthly,reg_saver,closed_fund,fund_name,aims,description,company_id,company_name,sector_id,sector_name,unit_type,full_description_with_unit_type,initial_charge,annual_charge,vantage_charge,net_annual_charge,initial_saving,annual_saving,holding_fee,loaded,linksedol_code,restrict_ot,payment_frequency,payment_type,Wealth150,trustee,assumed_growth,assumed_growth2,valuation_point,comment,tracker,yieldreduct,yieldreduct2,launch_price,launch_currency,num_holdings,icvc,sicav,plusfund,standard_amc,standard_ocf,total_expenses,charge_source,valuation_frequency,val_info,lsmininv,yield,kiid,kiid_url,running_yield,historic_yield,distribution_yield,underlying_yield,gross_yield,gross_running_yield,loyalty_bonus,reg_saver_min_inv,lump_sum_min_inv,renewal_commission,initial_commission,fund_size,risk_rating,other_expenses,cost_segment,update_time,ref_date,perf3m,perf6m,perf12m,perf36m,perf60m,perf120m,perf0t12m,perf12t24m,perf24t36m,perf36t48m,perf48t60m,perf3m_reinv,perf6m_reinv,perf12m_reinv,perf36m_reinv,perf60m_reinv,perf120m_reinv,perf0t12m_reinv,perf12t24m_reinv,perf24t36m_reinv,perf36t48m_reinv,perf48t60m_reinv,ter,is_unit_trust,is_oeic,isaable,sippable,unwrapable,launchdate,sales_only,bid_price,offer_price,price_change,percent_change,updated,investment_pathway,c_isin,fidelity_risk_rating_url,isin,msid,fund_code_value,fidelity_collectedSRRI,fidelity_alphas_oneYear,fidelity_alphas_threeYear,fidelity_alphas_fiveYear,fidelity_betas_oneYear,fidelity_betas_threeYear,fidelity_betas_fiveYear,fidelity_informationRatios_oneYear,fidelity_informationRatios_threeYear,fidelity_informationRatios_fiveYear,fidelity_rSquareds_oneYear,fidelity_rSquareds_threeYear,fidelity_rSquareds_fiveYear,fidelity_sharpeRatios_oneYear,fidelity_sharpeRatios_threeYear,fidelity_sharpeRatios_fiveYear,fidelity_standardDeviations_oneYear,fidelity_standardDeviations_threeYear,fidelity_standardDeviations_fiveYear,fidelity_trackingErrors_oneYear,fidelity_trackingErrors_threeYear,fidelity_trackingErrors_fiveYear,yahoo_timestamp,yahoo_symbol,ft_symbol,ft_xid,ft_alpha_1y,ft_beta_1y,ft_information_ratio_1y,ft_r_squared_1y,ft_sharpe_ratio_1y,ft_standard_deviation_1y,ft_alpha_3y,ft_beta_3y,ft_information_ratio_3y,ft_r_squared_3y,ft_sharpe_ratio_3y,ft_standard_deviation_3y,ft_alpha_5y,ft_beta_5y,ft_information_ratio_5y,ft_r_squared_5y,ft_sharpe_ratio_5y,ft_standard_deviation_5y
B2PB2B6,BFB8,7IM AAP Adventurous (Class C),25.0,1,0,Seven Investment Management AAP Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide capital growth. There is a risk of wide fluctuations in capital values.",AAP Adventurous (Class C),1174,Seven Investment Management,115,Flexible Investment,Income,7IM AAP Adventurous (Class C) (Inc),0.0,0.64,0.0,0.64,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,12:00,,0,0.0,0.0,1.0,GBP,18,0,0,N,0.0,0.64,0.64,N/a,Daily,,100.0,1.5,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=90f9bf95-819b-49df-b2f5-b89a49cb36ca&user=hl_website_documents,0.0,1.5,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,349.9,,0.14,1,2025-08-01 06:01:11,0000-00-00,10.29,2.65,8.35,20.07,43.25,,8.35,7.32,3.25,-1.31,20.9,,,,,,,,,,,,0.64,0,1,1,1,1,2008-03-28 00:00:00,,204.01,204.01,0.57,0.28,2025-07-31,N,GB00B2PB2B68,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB2B68GBP-7im-aap-adventurous-c-inc/risk-and-rating,GB00B2PB2B68GBP,F000001EZT,SMAVI,5.0,-2.57911,-3.02504,-2.57383,0.97632,0.82144,0.8924,-1.12223,-1.10016,-0.99452,92.74,81.464,85.487,0.38424,0.23995,0.51704,9.84475,8.37763,9.39291,2.66418,3.96,3.748,1754111825.0,0P0000CRAQ.L,,,,,,,,,,,,,,,,,,,,
B2PB2C7,BFB9,7IM AAP Adventurous (Class C),25.0,1,0,Seven Investment Management AAP Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide capital growth. There is a risk of wide fluctuations in capital values.",AAP Adventurous (Class C),1174,Seven Investment Management,115,Flexible Investment,Accumulation,7IM AAP Adventurous (Class C) (Acc),0.0,0.64,0.0,0.64,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,12:00,,0,0.0,0.0,1.0,GBP,18,0,0,N,0.0,0.64,0.64,N/a,Daily,,100.0,1.5,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=3b376978-902b-4ea9-bf05-c27904a97598&user=hl_website_documents,0.0,1.5,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,349.9,,0.14,1,2025-08-01 06:01:11,0000-00-00,10.29,2.65,8.35,20.08,43.26,,8.35,7.34,3.24,-1.31,20.9,,,,,,,,,,,,0.64,0,1,1,1,1,2008-03-28 00:00:00,,256.05,256.05,0.76,0.3,2025-07-31,N,GB00B2PB2C75,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB2C75GBP-7im-aap-adventurous-c-acc/risk-and-rating,GB00B2PB2C75GBP,F000001EZR,SMAVA,5.0,-2.58418,-3.02463,-2.56707,0.97752,0.82178,0.89167,-1.11593,-1.0984,-0.9914,92.682,81.424,85.405,0.38391,0.24009,0.51728,9.85982,8.38299,9.38971,2.67785,3.96439,3.7587,1754111827.0,0P0000CRAO.L,,,,,,,,,,,,,,,,,,,,
B2PB2V6,BFB4,7IM AAP Balanced (Class C),25.0,1,0,Seven Investment Management AAP Balanced (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a balance of income and capital appreciation. There may be some risk to capital.",AAP Balanced (Class C),1174,Seven Investment Management,131,Mixed Investment 20-60% Shares,Income,7IM AAP Balanced (Class C) (Inc),0.0,0.64,0.0,0.64,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,33,0,0,N,0.0,0.64,0.64,N/a,Daily,,100.0,2.0,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=274eefa6-5b95-40b9-ac19-c7ed9ac8aea6&user=hl_website_documents,0.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,706.1,,0.14,2,2025-08-01 06:01:11,0000-00-00,6.62,2.12,5.99,14.32,23.16,,5.99,7.6,0.24,-3.92,12.13,,,,,,,,,,,,0.64,0,1,1,1,1,2008-03-28 00:00:00,,156.27,156.27,0.31,0.2,2025-07-31,N,GB00B2PB2V64,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB2V64GBP-7im-aap-balanced-c-inc/risk-and-rating,GB00B2PB2V64GBP,F000001EZZ,SOBCI,4.0,-1.86319,-1.39263,-1.00338,1.14573,0.86051,0.92438,-0.77772,-0.55215,-0.4276,92.244,79.964,82.569,0.19721,0.03526,0.23337,6.80869,6.64369,7.05088,2.0733,3.10951,2.99254,1754111830.0,0P0000CRAW.L,,,,,,,,,,,,,,,,,,,,
B2PB379,BFB5,7IM AAP Balanced (Class C),25.0,1,0,Seven Investment Management AAP Balanced (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a balance of income and capital appreciation. There may be some risk to capital.",AAP Balanced (Class C),1174,Seven Investment Management,131,Mixed Investment 20-60% Shares,Accumulation,7IM AAP Balanced (Class C) (Acc),0.0,0.64,0.0,0.64,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,33,0,0,N,0.0,0.64,0.64,N/a,Daily,,100.0,2.0,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=493d38fa-0330-4104-81bc-31543303dce7&user=hl_website_documents,0.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,706.1,,0.14,2,2025-08-01 06:01:11,0000-00-00,6.62,2.13,5.99,14.33,23.17,,5.99,7.6,0.24,-3.92,12.13,,,,,,,,,,,,0.64,0,1,1,1,1,2008-03-28 00:00:00,,208.03,208.03,0.42,0.2,2025-07-31,N,GB00B2PB3794,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB3794GBP-7im-aap-balanced-c-acc/risk-and-rating,GB00B2PB3794,,,,,,,,,,,,,,,,,,,,,,,,,1754111832.0,0P0000CRAU.L,GB00B2PB3794:GBP,28308282,-2.31,1.11,-1.17,92.07,-0.01,,-1.89,0.83,-0.77,80.63,0.06,,-1.0,0.92,-0.42,82.29,0.18,
BMXV7D5,AHOMC,7IM AAP Cautious (Class C),25.0,1,0,Seven Investment Management AAP Cautious (Class C),This Fund aims to provide a long-term total return (over at least 5 years) by way of income with some capital growth.,AAP Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Income,7IM AAP Cautious (Class C) (Inc),0.0,0.73,0.0,0.73,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,0,0.0,0.0,12:00,,0,0.0,0.0,0.0,GBP,29,0,0,,0.0,0.73,0.73,N/a,Daily,,100.0,1.9,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=1b5e9a13-6c96-4366-b92f-9fad8d444d0a&user=hl_website_documents,0.0,1.9,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,62.2,,0.23,2,2025-08-01 06:01:08,0000-00-00,3.15,1.48,3.05,3.76,0.65,,3.05,4.7,-3.84,-6.59,3.84,,,,,,,,,,,,0.73,0,1,1,1,1,2024-03-22 00:00:00,N,121.91,121.91,0.08,0.07,2025-07-31,N,GB00BMXV7D57,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00BMXV7D57GBP-7im-aap-cautious-class-c-income/risk-and-rating,GB00BMXV7D57GBP,F00001I7OI,SMLCI,3.0,-2.55296,,,0.99505,,,-1.75679,,,87.756,,,-0.36562,,,4.35242,,,1.52009,,,,,,,,,,,,,,,,,,,,,,,,
BMXV854,AHOMB,7IM AAP Cautious (Class C),25.0,1,0,Seven Investment Management AAP Cautious (Class C),This Fund aims to provide a long-term total return (over at least 5 years) by way of income with some capital growth.,AAP Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Accumulation,7IM AAP Cautious (Class C) (Acc),0.0,0.73,0.0,0.73,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,0,0.0,0.0,12:00,,0,0.0,0.0,0.0,GBP,29,0,0,,0.0,0.73,0.73,N/a,Daily,,100.0,1.9,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=3418d186-dcc3-4b31-90fa-f7b143758228&user=hl_website_documents,0.0,1.9,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,62.2,,0.23,2,2025-08-01 06:01:08,0000-00-00,3.14,1.48,3.06,4.76,1.62,,3.06,5.7,-3.84,-6.59,3.84,,,,,,,,,,,,0.73,0,1,1,1,1,2024-03-22 00:00:00,N,157.19,157.19,0.1,0.06,2025-07-31,N,GB00BMXV8544,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00BMXV8544GBP-7im-aap-cautious-class-c-accumulation/risk-and-rating,GB00BMXV8544GBP,F00001I7OH,SMLCA,3.0,-2.5391,,,0.99444,,,-1.74721,,,87.737,,,-0.35832,,,4.35443,,,1.52056,,,,,,,,,,,,,,,,,,,,,,,,
B2PB2K5,BFA6,7IM AAP Moderately Adventurous (Class C),25.0,1,0,Seven Investment Management AAP Moderately Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.",AAP Moderately Adventurous (Class C),1174,Seven Investment Management,107,Mixed Investment 40-85% Shares,Income,7IM AAP Moderately Adventurous (Class C) (Inc),0.0,0.64,0.0,0.64,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,12:00,,0,0.0,0.0,1.0,GBP,28,0,0,N,0.0,0.64,0.64,N/a,Daily,,100.0,1.6,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=e5512a97-0071-438b-ba61-5fa139a32ca0&user=hl_website_documents,0.0,1.6,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,3.0,535.1,,0.14,2,2025-08-01 06:01:11,0000-00-00,8.63,2.59,7.39,18.78,36.0,,7.39,7.74,2.66,-2.42,17.33,,,,,,,,,,,,0.64,0,1,1,1,1,2008-03-28 00:00:00,,192.04,192.04,0.47,0.24,2025-07-31,N,GB00B2PB2K59,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB2K59GBP-7im-aap-moderately-adventurous-c-inc/risk-and-rating,GB00B2PB2K59GBP,F000001F03,SOMCI,4.0,-2.28458,-1.74297,-1.50915,1.08199,0.83143,0.92831,-0.93277,-0.71834,-0.59718,93.282,80.317,83.788,0.32927,0.21359,0.44565,8.42216,7.3404,8.35537,2.27041,3.51142,3.42927,1754111837.0,0P0000CRB0.L,,,,,,,,,,,,,,,,,,,,
B2PB2M7,BFA7,7IM AAP Moderately Adventurous (Class C),25.0,1,0,Seven Investment Management AAP Moderately Adventurous (Class C),"This Fund aims, by applying active asset allocation techniques to predominantly passive strategies, to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.",AAP Moderately Adventurous (Class C),1174,Seven Investment Management,107,Mixed Investment 40-85% Shares,Accumulation,7IM AAP Moderately Adventurous (Class C) (Acc),0.0,0.64,0.0,0.64,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,12:00,,0,0.0,0.0,1.0,GBP,28,0,0,N,0.0,0.64,0.64,N/a,Daily,,100.0,1.6,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=cc0f56b0-3208-4cff-aa09-9ca230bdefbd&user=hl_website_documents,0.0,1.6,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,3.0,535.1,,0.14,2,2025-08-01 06:01:11,0000-00-00,8.62,2.58,7.39,18.79,35.93,,7.39,7.74,2.66,-2.42,17.27,,,,,,,,,,,,0.64,0,1,1,1,1,2008-03-28 00:00:00,,242.5,242.5,0.62,0.26,2025-07-31,N,GB00B2PB2M73,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB2M73GBP-7im-aap-moderately-adventurous-c-acc/risk-and-rating,GB00B2PB2M73GBP,F000001F02,SOMCA,4.0,-2.28134,-1.73858,-1.50062,1.08102,0.83175,0.92653,-0.93618,-0.71692,-0.59845,93.304,80.331,83.814,0.32943,0.21428,0.4464,8.41346,7.34241,8.33789,2.26288,3.51027,3.4224,1754111839.0,0P0000CRAZ.L,,,,,,,,,,,,,,,,,,,,
B2PB205,BFB0,7IM AAP Moderately Cautious (Class C),25.0,1,0,Seven Investment Management AAP Moderately Cautious (Class C),"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",AAP Moderately Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Income,7IM AAP Moderately Cautious (Class C) (Inc),0.0,0.68,0.0,0.68,0.0,0.0,0.0,0,,0,Quarterly,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,34,0,0,N,0.0,0.68,0.68,N/a,Daily,,100.0,2.8,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=57705044-d373-413e-a120-a4ebda285d21&user=hl_website_documents,0.0,2.8,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,3.0,222.1,,0.18,2,2025-08-01 06:01:11,0000-00-00,4.66,1.99,4.81,9.09,9.31,,4.81,6.18,-1.97,-6.24,6.87,,,,,,,,,,,,0.68,0,1,1,1,1,2008-03-28 00:00:00,,122.86,122.86,0.18,0.15,2025-07-31,N,GB00B2PB2051,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB2051GBP-7im-aap-moderately-cautious-c-inc/risk-and-rating,GB00B2PB2051GBP,F000001EZY,SMACI,4.0,-0.97836,-1.07481,-0.83594,1.16662,0.92287,0.93473,-0.43709,-0.40381,-0.3449,85.554,81.792,83.009,0.02508,-0.21682,-0.13302,5.14628,6.27909,6.02785,2.07546,2.69908,2.50015,1754111841.0,0P0000CRAV.L,,,,,,,,,,,,,,,,,,,,
B2PB216,BFB1,7IM AAP Moderately Cautious (Class C),25.0,1,0,Seven Investment Management AAP Moderately Cautious (Class C),"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",AAP Moderately Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Accumulation,7IM AAP Moderately Cautious (Class C) (Acc),0.0,0.68,0.0,0.68,0.0,0.0,0.0,0,,0,Quarterly,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,34,0,0,N,0.0,0.68,0.68,N/a,Daily,,100.0,2.8,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=ccb3a9fe-80ff-4fd7-a229-4fdbe5a357c8&user=hl_website_documents,0.0,2.8,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,3.0,222.1,,0.18,2,2025-08-01 06:01:11,0000-00-00,4.66,1.98,4.81,9.11,9.33,,4.81,6.19,-1.97,-6.25,6.88,,,,,,,,,,,,0.68,0,1,1,1,1,2008-03-28 00:00:00,,169.63,169.63,0.27,0.16,2025-07-31,N,GB00B2PB2168,https://www.fidelity.co.uk/factsheet-data/factsheet/GB00B2PB2168GBP-7im-aap-moderately-cautious-c-acc/risk-and-rating,GB00B2PB2168GBP,F000001EZW,SMACA,4.0,-0.98471,-1.06306,-0.83016,1.17737,0.92524,0.93442,-0.43227,-0.39876,-0.34151,85.728,81.744,82.911,0.02564,-0.21444,-0.13202,5.18884,6.29684,6.02972,2.09413,2.70756,2.50806,1754111843.0,0P0000CRAT.L,,,,,,,,,,,,,,,,,,,,
B4QPB03,M2A7,7IM Absolute Return Portfolio,25.0,0,0,Seven Investment Management Absolute Return Portfolio (Class A),"The investment objective of the 7IM Absolute Return Portfolio is to provide a positive capital return over a 12 month period, regardless of market conditions, with a low level of realised volatility",Absolute Return Portfolio (Class A),1174,Seven Investment Management,136,Targeted Absolute Return,Accumulation,7IM Absolute Return Portfolio (Acc),0.0,1.21,0.0,1.21,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,59,0.0,0.0,12:00,,0,0.0,0.0,1.0,GBP,4,0,0,N,0.0,1.21,1.21,N/a,Daily,,100.0,1.7,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=e75d1300-c074-4ed7-b44d-cfc8bbeb01b2&user=hl_website_documents,0.0,1.7,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,4.4,,0.46,5,2025-08-01 06:01:28,0000-00-00,2.27,2.67,5.41,15.54,49.02,,5.41,7.78,1.7,24.5,3.59,,,,,,,,,,,,1.21,0,1,1,1,1,2010-12-02 00:00:00,N,178.94,178.94,5.75,3.32,2025-07-31,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,1754111845.0,0P0000SDXX.L,,,,,,,,,,,,,,,,,,,,
3395770,QI87,7IM Adventurous Fund (Class C),25.0,1,0,Seven Investment Management Adventurous Fund (Class C),This Fund aims to provide capital growth. There is a risk of wide fluctuations in capital values.,Adventurous Fund (Class C),1174,Seven Investment Management,115,Flexible Investment,Income,7IM Adventurous Fund (Class C) (Inc),0.0,1.41,0.0,1.41,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,23,0,0,N,0.0,1.41,1.41,N/a,Daily,,100.0,0.9,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=53f3f8bc-6242-40f5-bbe3-377fc917c9c2&user=hl_website_documents,0.0,0.9,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,182.4,,0.51,5,2025-08-01 06:01:40,0000-00-00,9.96,1.24,6.43,17.46,37.19,,6.43,7.18,2.97,-4.57,22.4,,,,,,,,,,,,1.41,0,1,1,1,1,2003-12-12 00:00:00,,323.28000000000003,323.28000000000003,0.35,0.11,2025-07-31,N,GB0033957704,https://www.fidelity.co.uk/factsheet-data/factsheet/GB0033957704GBP-7im-adventurous-c-inc/risk-and-rating,GB0033957704GBP,F0GBR05VCQ,SOACI,5.0,-4.2322,-3.82885,-3.32578,0.95237,0.83512,0.87903,-1.61779,-1.17692,-1.06784,90.49,77.823,80.741,0.20309,0.14797,0.41988,9.72366,8.70848,9.52118,3.03549,4.37122,4.36355,1754111848.0,0P0000196H.L,FTKR_GBIGBPT:FSI,950138100,,,,,,,,,,,,,,,,,,
3395800,QI86,7IM Adventurous Fund (Class C),25.0,1,0,Seven Investment Management Adventurous Fund (Class C),This Fund aims to provide capital growth. There is a risk of wide fluctuations in capital values.,Adventurous Fund (Class C),1174,Seven Investment Management,115,Flexible Investment,Accumulation,7IM Adventurous Fund (Class C) (Acc),0.0,1.41,0.0,1.41,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,23,0,0,N,0.0,1.41,1.41,N/a,Daily,,100.0,0.9,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=c4d5df77-646e-4e04-98e4-bd0cf2a35cb0&user=hl_website_documents,0.0,0.9,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,182.4,,0.51,5,2025-08-01 06:01:40,0000-00-00,9.95,1.24,6.43,17.46,37.2,,6.43,7.18,2.97,-4.57,22.4,,,,,,,,,,,,1.41,0,1,1,1,1,2003-12-12 00:00:00,,357.1,357.1,0.39,0.11,2025-07-31,N,GB0033958009,https://www.fidelity.co.uk/factsheet-data/factsheet/GB0033958009GBP-7im-adventurous-c-acc/risk-and-rating,GB0033958009GBP,F0GBR05VCR,SOACA,5.0,-4.23472,-3.8179,-3.31816,0.95321,0.8353,0.87897,-1.61504,-1.17311,-1.06736,90.476,77.793,80.783,0.20321,0.1493,0.42077,9.73299,8.71197,9.51809,3.03926,4.37485,4.35803,1754111850.0,0P0000196I.L,FTKR_GBIGBPT:FSI,950138100,,,,,,,,,,,,,,,,,,
3395929,QI98,7IM Balanced Fund (Class C),25.0,1,0,Seven Investment Management Balanced Fund (Class C),This Fund aims to provide a balance of income and capital appreciation. There may be some risk to capital.,Balanced Fund (Class C),1174,Seven Investment Management,131,Mixed Investment 20-60% Shares,Income,7IM Balanced Fund (Class C) (Inc),0.0,1.3,0.0,1.3,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,37,0,0,N,0.0,1.3,1.3,N/a,Daily,,100.0,1.9,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=80e827a0-c9ec-41c7-96f1-14b063330af9&user=hl_website_documents,0.0,1.9,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,415.7,,0.4,5,2025-08-01 06:01:40,0000-00-00,6.57,1.43,5.22,14.99,22.51,,5.22,7.79,1.39,-6.43,13.87,,,,,,,,,,,,1.3,0,1,1,1,1,2003-12-12 00:00:00,,209.47,209.47,0.3,0.14,2025-07-31,N,GB0033959296,https://www.fidelity.co.uk/factsheet-data/factsheet/GB0033959296GBP-7im-balanced-c-inc/risk-and-rating,GB0033959296GBP,F0GBR05VLH,SMBCI,4.0,-2.52153,-1.24718,-1.07207,1.11743,0.90485,0.92243,-1.00746,-0.44519,-0.41732,88.775,77.762,79.73,0.08947,0.06563,0.21945,6.77115,7.0667,7.15967,2.36797,3.38685,3.2709,1754111852.0,0P0000199T.L,FTKR_GBIGBPT:FSI,950138100,,,,,,,,,,,,,,,,,,
3395974,QI97,7IM Balanced Fund (Class C),25.0,1,0,Seven Investment Management Balanced Fund (Class C),This Fund aims to provide a balance of income and capital appreciation. There may be some risk to capital.,Balanced Fund (Class C),1174,Seven Investment Management,131,Mixed Investment 20-60% Shares,Accumulation,7IM Balanced Fund (Class C) (Acc),0.0,1.3,0.0,1.3,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,37,0,0,N,0.0,1.3,1.3,N/a,Daily,,100.0,1.9,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=331e644e-86bb-4c01-af39-6ac2384e8f43&user=hl_website_documents,0.0,1.9,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,415.7,,0.4,5,2025-08-01 06:01:40,0000-00-00,6.57,1.43,5.22,14.99,22.51,,5.22,7.79,1.39,-6.43,13.87,,,,,,,,,,,,1.3,0,1,1,1,1,2003-12-12 00:00:00,,281.99,281.99,0.39,0.14,2025-07-31,N,GB0033959742,https://www.fidelity.co.uk/factsheet-data/factsheet/GB0033959742GBP-7im-balanced-c-acc/risk-and-rating,GB0033959742GBP,F0GBR05VLG,SMBCA,4.0,-2.52357,-1.24557,-1.08106,1.11755,0.90503,0.92215,-1.00798,-0.44482,-0.4202,88.774,77.785,79.706,-0.154,0.0316,0.17858,6.41016,6.98397,7.08965,2.36856,3.38515,3.27257,1754111853.0,0P0000199S.L,FTKR_GBIGBPT:FSI,950138100,,,,,,,,,,,,,,,,,,
3395639,QI92,7IM Moderately Adventurous (Class C),25.0,1,0,Seven Investment Management Moderately Adventurous Fund (Class C),This Fund aims to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.,Moderately Adventurous Fund (Class C),1174,Seven Investment Management,107,Mixed Investment 40-85% Shares,Income,7IM Moderately Adventurous (Class C) (Inc),0.0,1.35,0.0,1.35,0.0,0.0,0.0,0,,0,Bi-annually,Dividend,0,104,7.0,6.0,11:00,,0,0.0,0.0,1.0,GBP,31,0,0,N,0.0,1.35,1.35,N/a,Daily,,100.0,1.4,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=dbd0c2ef-9f9b-42a6-8584-36b2bde77a83&user=hl_website_documents,0.0,1.4,0.0,0.0,0.0,0.0,0.0,25.0,100.0,0.0,0.0,302.2,,0.45,5,2025-08-01 06:01:40,0000-00-00,8.35,1.33,5.88,17.9,33.29,,5.88,7.93,3.17,-5.61,19.77,,,,,,,,,,,,1.35,0,1,1,1,1,2003-12-12 00:00:00,,295.53,295.53,0.37,0.12,2025-07-31,N,GB0033956391,https://www.fidelity.co.uk/factsheet-data/factsheet/GB0033956391GBP-7im-moderately-adventurous-c-inc/risk-and-rating,GB0033956391GBP,F0GBR05WOU,SODCI,4.0,-3.5331,-2.07072,-1.85758,1.04254,0.85745,0.92379,-1.32924,-0.72233,-0.63819,89.334,77.076,80.211,0.16177,0.17379,0.39434,8.29503,7.71583,8.49579,2.72946,3.85947,3.84741,1754111855.0,0P000019J5.L,FTKR_GBIGBPT:FSI,950138100,,,,,,,,,,,,,,,,,,
